time,ax,ay,az,gx,gy,gz,mx,my,mz
1369.00,-0.59,6.36,-7.90,0.00,0.01,0.00,1.00,-53.00,30.00
1382.00,-0.59,6.37,-7.88,0.00,0.01,0.00,1.00,-56.00,30.00
1393.00,-0.60,6.36,-7.92,0.00,0.01,0.00,1.00,-56.00,30.00
1405.00,-0.60,6.36,-7.92,0.00,0.01,0.00,1.00,-56.00,30.00
1417.00,-0.59,6.36,-7.88,0.00,0.01,0.00,1.00,-56.00,30.00
1430.00,-0.59,6.36,-7.88,0.00,0.01,0.00,1.00,-56.00,30.00
1442.00,-0.59,6.38,-7.88,0.00,0.01,0.00,1.00,-56.00,30.00
1454.00,-0.60,6.37,-7.88,0.00,0.01,0.00,1.00,-56.00,30.00
1466.00,-0.60,6.37,-7.88,0.00,0.01,0.00,1.00,-56.00,30.00
1478.00,-0.59,6.37,-7.90,0.00,0.01,0.00,1.00,-56.00,30.00
1490.00,-0.59,6.37,-7.90,0.00,0.01,0.00,1.00,-56.00,30.00
1501.00,-0.61,6.37,-7.89,0.00,0.01,0.00,1.00,-56.00,30.00
1513.00,-0.59,6.37,-7.91,0.00,0.01,0.00,5.00,-53.00,30.00
1524.00,-0.59,6.37,-7.91,0.00,0.01,0.00,5.00,-53.00,30.00
1537.00,-0.61,6.37,-7.90,0.00,0.01,0.00,5.00,-53.00,30.00
1549.00,-0.61,6.37,-7.90,0.00,0.01,0.00,5.00,-53.00,30.00
1561.00,-0.61,6.38,-7.90,0.00,0.01,0.00,5.00,-53.00,30.00
1573.00,-0.59,6.38,-7.90,0.00,0.01,0.00,5.00,-53.00,30.00
1586.00,-0.59,6.38,-7.90,0.00,0.01,0.00,5.00,-53.00,30.00
1598.00,-0.59,6.37,-7.87,0.00,0.01,0.00,5.00,-53.00,30.00
1609.00,-0.59,6.37,-7.87,0.00,0.01,0.00,5.00,-53.00,30.00
1620.00,-0.60,6.35,-7.88,0.00,0.01,0.00,5.00,-53.00,30.00
1633.00,-0.59,6.36,-7.90,0.00,0.01,0.00,3.00,-53.00,30.00
1644.00,-0.59,6.36,-7.90,0.00,0.01,0.00,3.00,-53.00,30.00
1656.00,-0.58,6.37,-7.91,0.00,0.01,0.00,3.00,-53.00,30.00
1668.00,-0.58,6.37,-7.91,0.00,0.01,0.00,3.00,-53.00,30.00
1680.00,-0.61,6.37,-7.89,0.00,0.01,0.00,3.00,-53.00,30.00
1693.00,-0.61,6.36,-7.88,0.00,0.01,0.00,3.00,-53.00,30.00
1705.00,-0.61,6.36,-7.88,0.00,0.01,0.00,3.00,-53.00,30.00
1716.00,-0.58,6.37,-7.88,0.00,0.01,0.00,3.00,-53.00,30.00
1728.00,-0.58,6.37,-7.88,0.00,0.01,0.00,3.00,-53.00,30.00
1741.00,-0.60,6.36,-7.88,0.00,0.01,0.00,3.00,-53.00,30.00
1752.00,-0.60,6.36,-7.88,0.00,0.01,0.00,3.00,-53.00,30.00
1764.00,-0.60,6.39,-7.91,0.00,0.01,0.00,1.00,-47.00,26.00
1776.00,-0.61,6.38,-7.89,0.00,0.01,0.00,1.00,-47.00,26.00
1789.00,-0.61,6.38,-7.89,0.00,0.01,0.00,1.00,-47.00,26.00
1800.00,-0.60,6.38,-7.90,0.00,0.01,0.00,1.00,-47.00,26.00
1812.00,-0.60,6.38,-7.90,0.00,0.01,0.00,1.00,-47.00,26.00
1824.00,-0.60,6.36,-7.89,0.00,0.01,0.00,1.00,-47.00,26.00
1836.00,-0.59,6.38,-7.87,0.00,0.01,0.00,1.00,-47.00,26.00
1847.00,-0.59,6.38,-7.87,0.00,0.01,0.00,1.00,-47.00,26.00
1859.00,-0.61,6.37,-7.87,0.00,0.01,0.00,1.00,-47.00,26.00
1870.00,-0.61,6.37,-7.87,0.00,0.01,0.00,1.00,-47.00,26.00
1881.00,-0.57,6.31,-7.84,0.00,0.01,0.00,3.00,-53.00,30.00
1894.00,-0.58,6.40,-8.03,0.01,0.01,0.00,3.00,-53.00,30.00
1905.00,-0.58,6.40,-8.03,0.01,0.01,0.00,3.00,-53.00,30.00
1916.00,-0.58,6.39,-7.99,0.00,0.01,0.00,3.00,-53.00,30.00
1928.00,-0.58,6.39,-7.99,0.00,0.01,0.00,3.00,-53.00,30.00
1941.00,-0.58,6.35,-7.87,-0.00,0.01,0.00,3.00,-53.00,30.00
1952.00,-0.58,6.35,-7.87,-0.00,0.01,0.00,3.00,-53.00,30.00
1964.00,-0.60,6.37,-7.90,0.00,0.01,0.00,3.00,-53.00,30.00
1976.00,-0.61,6.37,-7.91,0.00,0.01,0.00,3.00,-53.00,30.00
1988.00,-0.61,6.37,-7.91,0.00,0.01,0.00,3.00,-53.00,30.00
2002.00,-0.60,6.34,-7.85,0.00,0.00,0.00,3.00,-53.00,30.00
2014.00,-0.61,6.35,-7.88,0.00,0.01,0.00,1.00,-53.00,26.00
2026.00,-0.61,6.35,-7.88,0.00,0.01,0.00,1.00,-53.00,26.00
2038.00,-0.59,6.38,-7.90,0.00,0.01,0.00,1.00,-53.00,26.00
2051.00,-0.59,6.38,-7.90,0.00,0.01,0.00,1.00,-53.00,26.00
2063.00,-0.61,6.37,-7.90,0.00,0.01,0.00,1.00,-53.00,26.00
2074.00,-0.59,6.37,-7.88,0.00,0.01,0.00,1.00,-53.00,26.00
2085.00,-0.59,6.37,-7.88,0.00,0.01,0.00,1.00,-53.00,26.00
2098.00,-0.59,6.35,-7.87,0.00,0.01,0.00,1.00,-53.00,26.00
2109.00,-0.59,6.35,-7.87,0.00,0.01,0.00,1.00,-53.00,26.00
2121.00,-0.61,6.38,-7.88,0.00,0.01,0.00,1.00,-53.00,26.00
2133.00,-0.59,6.37,-7.88,0.00,0.01,0.00,3.00,-50.00,26.00
2145.00,-0.59,6.37,-7.88,0.00,0.01,0.00,3.00,-50.00,26.00
2158.00,-0.60,6.37,-7.88,0.00,0.01,0.00,3.00,-50.00,26.00
