time,ax,ay,az,gx,gy,gz,mx,my,mz
1349.00,-0.68,6.36,-7.87,0.05,0.09,0.02,1.00,-20.00,-37.00
1360.00,-0.67,6.34,-7.86,0.01,0.03,0.03,1.00,-20.00,-37.00
1372.00,-0.67,6.34,-7.86,0.01,0.03,0.03,1.00,-20.00,-37.00
1384.00,-0.66,6.34,-7.88,0.00,0.03,0.03,1.00,-20.00,-37.00
1396.00,-0.65,6.34,-7.91,0.00,0.03,0.03,1.00,-20.00,-37.00
1409.00,-0.65,6.34,-7.91,0.00,0.03,0.03,1.00,-20.00,-37.00
1420.00,-0.66,6.33,-7.88,-0.00,0.02,0.03,1.00,-20.00,-37.00
1432.00,-0.66,6.33,-7.88,-0.00,0.02,0.03,1.00,-20.00,-37.00
1443.00,-0.65,6.33,-7.89,-0.00,0.02,0.02,1.00,-20.00,-37.00
1456.00,-0.67,6.33,-7.88,-0.00,0.02,0.02,1.00,-18.00,-39.00
1468.00,-0.67,6.33,-7.88,-0.00,0.02,0.02,1.00,-18.00,-39.00
1479.00,-0.65,6.33,-7.90,-0.00,0.02,0.02,1.00,-18.00,-39.00
1491.00,-0.65,6.33,-7.90,-0.00,0.02,0.02,1.00,-18.00,-39.00
1504.00,-0.66,6.35,-7.88,-0.00,0.02,0.02,1.00,-18.00,-39.00
1516.00,-0.66,6.35,-7.87,-0.00,0.02,0.02,1.00,-18.00,-39.00
1527.00,-0.66,6.35,-7.87,-0.00,0.02,0.02,1.00,-18.00,-39.00
1540.00,-0.65,6.32,-7.87,-0.00,0.02,0.02,1.00,-18.00,-39.00
1553.00,-0.65,6.32,-7.87,-0.00,0.02,0.02,1.00,-18.00,-39.00
1564.00,-0.65,6.32,-7.91,-0.00,0.02,0.02,1.00,-18.00,-39.00
1576.00,-0.64,6.33,-7.91,-0.00,0.02,0.02,1.00,-16.00,-42.00
1588.00,-0.64,6.33,-7.91,-0.00,0.02,0.02,1.00,-16.00,-42.00
1601.00,-0.65,6.33,-7.89,-0.00,0.02,0.02,1.00,-16.00,-42.00
1613.00,-0.65,6.33,-7.89,-0.00,0.02,0.02,1.00,-16.00,-42.00
1625.00,-0.66,6.34,-7.89,-0.00,0.02,0.02,1.00,-16.00,-42.00
1637.00,-0.66,6.33,-7.91,-0.00,0.02,0.02,1.00,-16.00,-42.00
1648.00,-0.66,6.33,-7.91,-0.00,0.02,0.02,1.00,-16.00,-42.00
1661.00,-0.65,6.34,-7.87,-0.00,0.02,0.02,1.00,-16.00,-42.00
